"id","year","week","team","pts_for","opponent","pts_against"
20050351,2005,3,"Faber","135.8","Ceej","158.84"
20050352,2005,3,"Ceej","158.84","Faber","135.8"
20050401,2005,4,"Lude","102.24","Frank","118.84"
20050402,2005,4,"Frank","118.84","Lude","102.24"
20050411,2005,4,"Winks","103.22","Ost","57.76"
20050412,2005,4,"Ost","57.76","Winks","103.22"
20050421,2005,4,"Strand","84.02","Ceej","118.86"
20050422,2005,4,"Ceej","118.86","Strand","84.02"
20050431,2005,4,"Sarge","117.44","Rades","77.78"
20050432,2005,4,"Rades","77.78","Sarge","117.44"
20050441,2005,4,"Schingen","102.88","Benny","97.56"
20050442,2005,4,"Benny","97.56","Schingen","102.88"
20050451,2005,4,"Faber","53.7","Gresh","93.96"
20050452,2005,4,"Gresh","93.96","Faber","53.7"
20050501,2005,5,"Lude","96.2","Sarge","123.54"
20050502,2005,5,"Sarge","123.54","Lude","96.2"
20050511,2005,5,"Winks","75.7","Frank","72.36"
20050512,2005,5,"Frank","72.36","Winks","75.7"
20050521,2005,5,"Strand","65.94","Ost","87.6"
20050522,2005,5,"Ost","87.6","Strand","65.94"
20050531,2005,5,"Schingen","91.38","Rades","103.74"
20050532,2005,5,"Rades","103.74","Schingen","91.38"
20050541,2005,5,"Faber","93.04","Benny","63.2"
20050542,2005,5,"Benny","63.2","Faber","93.04"
20050551,2005,5,"Gresh","110.78","Ceej","79.94"
20050552,2005,5,"Ceej","79.94","Gresh","110.78"
20050601,2005,6,"Lude","75.46","Schingen","107.68"
20050602,2005,6,"Schingen","107.68","Lude","75.46"
20050611,2005,6,"Winks","81.52","Sarge","60.3"
20050612,2005,6,"Sarge","60.3","Winks","81.52"
20050621,2005,6,"Strand","77.38","Frank","112.58"
20050622,2005,6,"Frank","112.58","Strand","77.38"
20050631,2005,6,"Ost","67.76","Ceej","97.9"
20050632,2005,6,"Ceej","97.9","Ost","67.76"
20050641,2005,6,"Faber","110.98","Rades","93.94"
20050642,2005,6,"Rades","93.94","Faber","110.98"
20050651,2005,6,"Gresh","104.58","Benny","91.44"
20050652,2005,6,"Benny","91.44","Gresh","104.58"
20050701,2005,7,"Lude","90.02","Faber","81.3"
20050702,2005,7,"Faber","81.3","Lude","90.02"
20050711,2005,7,"Winks","76.7","Schingen","83.04"
20050712,2005,7,"Schingen","83.04","Winks","76.7"
20050721,2005,7,"Strand","101.34","Sarge","107.36"
